"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"TOBYGERHART","RB","Toby Gerhart","JAC",28,104,6.5,NA,NA,NA,NA,NA,14,45,0,3,20,0,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",28,104,6.5,NA,NA,NA,NA,NA,8,35,0,4,30,0,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",37,104,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,0,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",37,104,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,0,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",37,104,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,0,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",37,104,6.5,NA,NA,NA,NA,NA,NA,NA,NA,4,65,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",31,111,6,NA,NA,NA,NA,NA,9,40,0,3,20,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",31,111,6,NA,NA,NA,NA,NA,8,30,0,5,30,0,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",41,111,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",41,111,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
