"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"JAMESJONES","James Jones","WR","OAK",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,48,12,0,NA,0,4
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,45,15,0,NA,0,4
"JORDANREED","Jordan Reed","TE","WAS",18,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,40,10,0,NA,0,4
"ANTHONYDIXON","Anthony Dixon","RB","BUF",38,142,NA,NA,NA,NA,NA,NA,NA,6,26,4.3,0,1,10,10,0,NA,0,3
"DAMIENWILLIAMS","Damien Williams","RB","MIA",38,142,NA,NA,NA,NA,NA,NA,NA,7,32,4.6,0,1,7,7,0,NA,0,3
"ROYHELU","Roy Helu","RB","WAS",38,142,NA,NA,NA,NA,NA,NA,NA,3,14,4.7,0,3,22,7.3,0,NA,0,3
"CHARLESSIMS","Charles Sims","RB","TB",38,142,NA,NA,NA,NA,NA,NA,NA,9,38,4.2,0,2,8,4,0,NA,0,3
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",38,142,NA,NA,NA,NA,NA,NA,NA,3,11,3.7,0,3,21,7,0,NA,0,3
"BRANDENOLIVER","Branden Oliver","RB","SD",38,142,NA,NA,NA,NA,NA,NA,NA,8,35,4.4,0,1,9,9,0,NA,0,3
"JAMESSTARKS","James Starks","RB","GB",38,142,NA,NA,NA,NA,NA,NA,NA,8,31,3.9,0,1,4,4,0,NA,0,3
"MARKUSWHEATON","Markus Wheaton","WR","PIT",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"NATEWASHINGTON","Nate Washington","WR","TEN",59,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,34,11.3,0,NA,0,3
