"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",69,172,6.51,4.6,NA,0,0,0,0,0,0,2.7,40.7,0.2,0,0,0
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",48,173,6.5,2.3,NA,0,0,0,6.7,30.3,0.1,1.9,16.6,0.1,0,0,0
"CHRISGRAGG","TE","Chris Gragg","BUF",25,174,6.46,4.4,NA,0,0,0,0,0,0,2.8,32.2,0.3,0,0,0
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",25,174,6.46,4.9,NA,0,0,0,0,0,0,3.3,35.8,0.2,0,0,0
"JAVONTEEHERNDON","WR","Javontee Herndon","SD",70,176,6.36,4,NA,0,0,0,0,0,0,2.7,35.1,0.2,0.1,0,0
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",49,177,6.25,1.4,NA,0,0,0,8.3,34.9,0.2,1.1,8.5,0,0,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",50,178,6.23,2,NA,0,0,0,9.5,33.7,0.1,1.6,12.4,0.1,0,0,0
"JOIQUEBELL","RB","Joique Bell","DET",51,179,6.03,1.9,NA,0,0,0,6.4,27.4,0.2,1.6,12.3,0.1,0,0,0.1
"DEVANTEPARKER","WR","DeVante Parker","MIA",71,180,6.01,3.8,NA,0,0,0,0,0,0,2.4,34.9,0.2,0,0,0
"JEREMYBUTLER","WR","Jeremy Butler","BAL",72,181,5.96,4.9,NA,0,0,0,0,0,0,2.9,39.9,0.1,0,0,0
"NELSONAGHOLOR","WR","Nelson Agholor","PHI",73,182,5.94,4.6,NA,0,0,0,0,0,0,2.7,34.5,0.2,0,0,0
"EDDIEROYAL","WR","Eddie Royal","CHI",74,183,5.93,4.5,NA,0,0,0,0,0,0,3,36.1,0.1,0,0,0
"LANCEMOORE","WR","Lance Moore","DET",75,184,5.91,3.7,NA,0,0,0,0,0,0,2.6,31.9,0.2,0,0,0
"CHRISHOGAN","WR","Chris Hogan","BUF",76,185,5.59,4.1,NA,0,0,0,0,0,0,2.4,29.4,0.2,0,0,0
"JORDANCAMERON","TE","Jordan Cameron","MIA",27,186,5.55,4,NA,0,0,0,0,0,0,2.4,29.7,0.2,0,0,0
"ROBERTTURBIN","RB","Robert Turbin","DAL",52,187,5.41,1.8,NA,0,0,0,7,26.9,0.1,1.4,11.9,0,0,0,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",53,188,5.4,1.1,NA,0,0,0,9.4,34.8,0.1,0.9,6.7,0,0,0,0.1
"BISHOPSANKEY","RB","Bishop Sankey","TEN",54,189,5.39,3.6,NA,0,0,0,3.4,14.3,0.1,2.6,19.2,0.1,0,0,0
