"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",0,0,0,72,0,0,0,0,0,0,7.2,"1","0","48%","14"
"ERICEBRON","Eric Ebron","TE","DET",0,0,0,0,0,0,0,0,0,0,0,"2","0","17%","0"
"SCOTTCHANDLER","Scott Chandler","TE","BUF",0,0,0,0,0,0,0,0,0,0,0,"1","0","2%","0"
"COBYFLEENER","Coby Fleener","TE","IND",0,0,0,0,0,21,0,0,0,0,2.1,"8","3","22%","0"
"TAVONAUSTIN","Tavon Austin","WR","STL",0,0,0,5,0,34,0,0,0,0,3.9,"3","3","38%","3"
"BRIANQUICK","Brian Quick","WR","STL",0,0,0,0,0,99,0,0,0,0,9.9,"9","7","3%","0"
"HAKEEMNICKS","Hakeem Nicks","WR","IND",0,0,0,0,0,36,1,0,0,0,9.6,"5","5","58%","0"
"AUSTINSEFE","Austin Sefe","TE","RIA",0,0,0,0,0,26,0,0,0,0,2.6,"2","1","2%","0"
"BRANDONGIBSON","Brandon Gibson","WR","MIA",0,0,0,0,0,9,0,0,0,0,0.9,"1","1","1%","0"
"MILESAUSTIN","Miles Austin","WR","CLE",0,0,0,0,0,20,0,0,0,0,2,"3","2","14%","0"
"HARRYDOUGLAS","Harry Douglas","WR","ATL",0,0,0,0,0,69,0,0,0,0,6.9,"7","6","9%","0"
"DWAYNEALLEN","Dwayne Allen","TE","IND",0,0,0,0,0,64,1,0,0,0,12.4,"5","4","6%","0"
"TYLEREIFERT","Tyler Eifert","TE","CIN",0,0,0,0,0,37,0,0,0,0,3.7,"3","3","44%","0"
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",0,0,0,4,0,36,0,0,1,0,6,"5","4","7%","1"
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","OAK",0,0,0,0,0,37,0,0,0,0,3.7,"10","5","12%","0"
"MIKEWILLIAMS","Mike Williams","WR","BUF",0,0,0,0,0,36,0,0,0,0,3.6,"3","2","13%","0"
"RODSTREATER","Rod Streater","WR","OAK",0,0,0,0,0,46,1,0,0,0,10.6,"7","5","5%","0"
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",0,0,0,-2,0,25,0,0,0,0,2.3,"7","4","0%","1"
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",0,0,0,0,0,32,0,0,0,0,3.2,"4","4","12%","0"
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",0,0,0,15,0,70,0,0,0,0,8.5,"6","5","25%","3"
"JAMESJONES","James Jones","WR","OAK",0,0,0,0,0,34,1,0,0,0,9.4,"3","3","23%","0"
"FRANKIEHAMMOND","Frankie Hammond Jr.","WR","KC",0,0,0,0,0,22,0,0,0,0,2.2,"2","1","0%","0"
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",0,0,0,21,0,30,0,0,0,0,5.1,"4","4","12%","5"
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",0,0,0,0,0,0,0,0,0,0,0,"1","0","0%","0"
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",0,0,0,0,0,8,0,0,0,0,0.8,"3","1","4%","0"
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",0,0,0,5,0,21,1,0,0,0,8.6,"3","3","1%","1"
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",0,0,0,0,0,38,0,0,0,0,3.8,"5","5","1%","0"
"ANDREROBERTS","Andre Roberts","WR","WAS",0,0,0,0,0,22,0,0,0,0,2.2,"3","1","2%","0"
"JOHNBROWN","John Brown","WR","ARI",0,0,0,0,0,29,1,0,0,0,8.9,"5","2","7%","0"
"CHRISIVORY","Chris Ivory","RB","NYJ",0,0,0,102,1,0,0,0,0,0,16.2,"0","0","32%","10"
"ZACHMILLER","Zach Miller","TE","SEA",0,0,0,0,0,42,0,0,0,0,4.2,"4","3","6%","0"
"CARLOSHYDE","Carlos Hyde","RB","SF",0,0,0,50,1,0,0,0,0,0,11,"0","0","67%","7"
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",0,0,0,20,0,17,0,0,0,0,3.7,"3","3","19%","9"
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",0,0,0,29,0,17,0,0,0,0,4.6,"2","1","6%","9"
"ANTHONYFASANO","Anthony Fasano","TE","KC",0,0,0,0,0,29,1,0,0,0,8.9,"6","3","1%","0"
"MIKEBROWN","Mike Brown","WR","JAX",0,0,0,0,0,36,0,0,0,0,3.6,"5","3","0%","0"
"JUSTINFORSETT","Justin Forsett","RB","BAL",0,0,0,70,1,14,0,0,0,0,14.4,"6","5","1%","11"
"ROBERTWOODS","Robert Woods","WR","BUF",0,0,0,0,0,78,0,0,0,0,7.8,"6","4","3%","0"
"LANCEDUNBAR","Lance Dunbar","RB","DAL",0,0,0,0,0,21,0,0,0,0,2.1,"3","3","10%","0"
"JOHNCARLSON","John Carlson","TE","ARI",0,0,0,0,0,20,0,0,0,0,2,"1","1","0%","0"
"ANDRECALDWELL","Andre Caldwell","WR","DEN",0,0,0,0,0,16,0,0,0,0,1.6,"5","2","5%","0"
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",0,0,0,0,0,9,0,0,0,0,0.9,"1","1","2%","0"
"MYCHALRIVERA","Mychal Rivera","TE","OAK",0,0,0,0,0,31,0,0,0,0,3.1,"4","3","1%","0"
"DENARIUSMOORE","Denarius Moore","WR","OAK",0,0,0,0,0,8,0,0,0,0,0.8,"8","2","6%","0"
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"-","-","12%","-"
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",0,0,0,0,0,16,0,0,0,0,1.6,"5","2","2%","0"
"JACEAMARO","Jace Amaro","TE","NYJ",0,0,0,0,0,7,0,0,0,0,0.7,"4","2","2%","0"
"BRENTCELEK","Brent Celek","TE","PHI",0,0,0,0,0,15,0,0,0,0,1.5,"4","3","8%","0"
"JUSTINBROWN","Justin Brown","WR","PIT",0,0,0,0,0,38,0,0,0,0,3.8,"4","3","0%","0"
"GAVINESCOBAR","Gavin Escobar","TE","DAL",0,0,0,0,0,0,0,0,0,0,0,"1","0","0%","0"
"BISHOPSANKEY","Bishop Sankey","RB","TEN",0,0,0,25,0,0,0,0,0,0,2.5,"0","0","86%","6"
"BOBBYRAINEY","Bobby Rainey","RB","TB",0,0,0,12,0,8,1,0,0,1,6,"2","2","4%","4"
"LANCEKENDRICKS","Lance Kendricks","TE","STL",0,0,0,0,0,12,0,0,0,0,1.2,"3","2","0%","0"
"TIMWRIGHT","Tim Wright","TE","NE",0,0,0,0,0,15,0,0,0,0,1.5,"3","3","27%","0"
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",0,0,0,10,0,20,1,0,0,0,9,"3","2","0%","1"
"TERRANCEWEST","Terrance West","RB","CLE",0,0,0,100,0,0,0,0,0,0,10,"0","0","38%","16"
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",0,0,0,0,0,37,0,0,0,0,3.7,"4","2","29%","0"
"ROYHELU","Roy Helu Jr.","RB","WAS",0,0,0,46,0,15,0,0,0,0,6.1,"3","2","6%","4"
"LARRYDONNELL","Larry Donnell","TE","NYG",0,0,0,0,0,56,1,0,0,0,11.6,"8","5","0%","0"
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",0,0,0,15,0,18,0,0,0,0,3.3,"2","2","39%","2"
"KNILEDAVIS","Knile Davis","RB","KC",0,0,0,3,0,3,0,0,0,0,0.6,"1","1","12%","1"
"JOSEPHMORGAN","Joseph Morgan","WR","NO",0,0,0,0,0,0,0,0,0,0,0,"3","0","0%","0"
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",0,0,0,0,0,0,0,0,0,0,0,"2","0","0%","0"
"KHIRYROBINSON","Khiry Robinson","RB","NO",0,0,0,28,1,0,0,0,0,0,8.8,"1","0","18%","6"
"MIKETOLBERT","Mike Tolbert","RB","CAR",0,0,0,11,0,6,0,0,0,0,1.7,"4","2","2%","7"
"DENARDROBINSON","Denard Robinson","RB","JAX",0,0,0,8,0,3,0,0,0,0,1.1,"1","1","1%","3"
