"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAC",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",17,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",17,144,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",17,144,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",49,164,3,NA,NA,NA,NA,NA,5,20,0,1,10,0,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",49,164,3,NA,NA,NA,NA,NA,5,20,0,1,10,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",49,164,3,NA,NA,NA,NA,NA,4,20,0,1,10,0,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",49,164,3,NA,NA,NA,NA,NA,4,20,0,1,10,0,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"ANDRECALDWELL","WR","Andre Caldwell","DEN",66,164,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
