"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"LESEANMCCOY","RB","26-085","2014-10-05","PHI",FALSE,"STL","W 34-28",5,"Sun",5,2014,5,NA,NA,NA,81,0,4,5,0
"LEVEONBELL","RB","22-229","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,82,0,5,36,0
"LOGANPAULSEN","WR","27-222","2014-10-06","WAS",FALSE,"SEA","L 17-27",5,"Mon",5,2014,5,NA,NA,NA,NA,NA,2,11,0
"LOGANTHOMAS","QB","23-096","2014-10-05","ARI",TRUE,"DEN","L 20-41",5,"Sun",4,2014,5,81,1,0,NA,NA,NA,NA,NA
"LORENZOTALIAFERRO","RB","22-286","2014-10-05","BAL",TRUE,"IND","L 13-20",5,"Sun",5,2014,5,NA,NA,NA,18,0,NA,NA,NA
"LOUISMURPHY","WR","27-147","2014-10-05","TAM",TRUE,"NOR","L 31-37",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,35,1
"LUKEWILLSON","WR","24-264","2014-10-06","SEA",TRUE,"WAS","W 27-17",5,"Mon",4,2014,5,NA,NA,NA,NA,NA,3,28,0
"MALCOMFLOYD","WR","33-027","2014-10-05","SDG",FALSE,"NYJ","W 31-0",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,72,0
"MARKUSWHEATON","WR","23-240","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,17,0
"MARQUEISGRAY","WR","23-329","2014-10-02","MIN",TRUE,"GNB","L 10-42",5,"Thu",5,2014,5,NA,NA,NA,NA,NA,1,16,0
"MARQUESCOLSTON","WR","31-122","2014-10-05","NOR",FALSE,"TAM","W 37-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,63,0
"MARQUISEGOODWIN","RB","23-320","2014-10-05","BUF",TRUE,"DET","W 17-14",5,"Sun",5,2014,5,NA,NA,NA,-8,0,1,42,0
"MARSHAWNLYNCH","RB","28-167","2014-10-06","SEA",TRUE,"WAS","W 27-17",5,"Mon",4,2014,5,NA,NA,NA,72,0,5,45,1
"MARTELLUSBENNETT","WR","27-209","2014-10-05","CHI",TRUE,"CAR","L 24-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,17,0
